nurseid,Max m shifts,Max a shifts,Max n shifts,Max total shifts,Min total shifts,Max cons shifts,Min cons days off,Max weekends,Min n shifts
1,12,12,12,12,24,5,2,4,9
2,12,12,12,8,24,5,2,4,9
3,12,12,12,12,24,4,3,3,9
4,9,9,6,8,15,5,2,4,3
5,9,9,6,12,15,5,2,4,3
6,12,12,12,8,24,5,2,4,9
7,12,12,12,8,24,5,2,4,9
8,12,12,12,12,24,5,2,4,9
9,9,9,6,8,15,4,3,3,3
10,12,12,12,8,24,5,2,4,9
11,12,12,12,8,24,5,2,4,9
12,12,12,12,8,24,4,3,3,9
13,12,12,12,8,24,5,2,4,9
14,12,12,12,12,24,5,2,4,9
15,9,9,6,12,15,4,3,3,3
16,12,12,12,12,24,5,2,4,9
17,12,12,12,12,24,5,2,4,9
18,9,9,6,12,15,5,2,4,3
19,9,9,6,8,15,5,2,4,3
20,12,12,12,12,24,5,2,4,9
21,12,12,12,12,24,4,3,3,9
22,9,9,6,12,15,4,3,3,3
23,9,9,6,12,15,5,2,4,3
24,12,12,12,12,24,5,2,4,9
25,12,12,12,12,24,4,3,3,9
26,12,12,12,12,24,5,2,4,9
27,12,12,12,12,24,5,2,4,9
28,12,12,12,12,24,5,2,4,9
29,9,9,6,12,15,5,2,4,3
30,12,12,12,12,24,5,2,4,9
31,9,9,6,12,15,5,2,4,3
32,12,12,12,12,24,5,2,4,9
33,12,12,12,12,24,4,3,3,9
34,12,12,12,12,24,4,3,3,9
35,9,9,6,12,15,5,2,4,3
36,12,12,12,12,24,5,2,4,9
37,12,12,12,12,24,4,3,3,9
38,12,12,12,12,24,5,2,4,9
39,9,9,6,12,15,4,3,3,3
40,12,12,12,12,24,5,2,4,9
41,9,9,6,12,15,5,2,4,3
42,9,9,6,12,15,4,3,3,3
43,9,9,6,12,15,5,2,4,3
44,12,12,12,12,24,4,3,3,9
45,12,12,12,12,24,5,2,4,9
46,12,12,12,12,24,5,2,4,9
47,12,12,12,12,24,4,3,3,9
48,9,9,6,12,15,4,3,3,3
49,9,9,6,12,15,5,2,4,3
50,9,9,6,12,15,5,2,4,3
51,12,12,12,12,24,5,2,4,9
52,12,12,12,12,24,5,2,4,9
53,12,12,12,12,24,4,3,3,9
54,12,12,12,12,24,4,3,3,9
55,12,12,12,12,24,4,3,3,9
56,12,12,12,12,24,5,2,4,9
57,9,9,6,12,15,5,2,4,3
58,12,12,12,12,24,4,3,3,9
59,9,9,6,12,15,5,2,4,3
60,12,12,12,12,24,4,3,3,9
61,12,12,12,12,24,4,3,3,9
62,9,9,6,12,15,5,2,4,3
63,12,12,12,12,24,4,3,3,9
64,12,12,12,12,24,4,3,3,9
65,12,12,12,12,24,5,2,4,9
66,12,12,12,12,24,5,2,4,9
67,12,12,12,12,24,5,2,4,9
68,12,12,12,12,24,5,2,4,9
69,12,12,12,12,24,5,2,4,9
70,12,12,12,12,24,5,2,4,9
71,9,9,6,12,15,5,2,4,3
72,9,9,6,12,15,5,2,4,3
73,12,12,12,12,24,4,3,3,9
74,12,12,12,12,24,4,3,3,9
75,9,9,6,12,15,5,2,4,3
76,12,12,12,12,24,4,3,3,9
77,9,9,6,12,15,5,2,4,3
78,12,12,12,12,24,4,3,3,9
79,12,12,12,12,24,4,3,3,9
80,12,12,12,12,24,5,2,4,9
81,9,9,6,12,15,5,2,4,3
82,9,9,6,12,15,4,3,3,3
83,12,12,12,12,24,5,2,4,9
84,12,12,12,12,24,5,2,4,9
85,9,9,6,12,15,5,2,4,3
86,12,12,12,12,24,5,2,4,9
87,9,9,6,12,15,5,2,4,3
88,9,9,6,12,15,5,2,4,3
89,12,12,12,12,24,5,2,4,9
90,9,9,6,12,15,5,2,4,3
