# Day, ShiftID, Requirement,
1,E,40,4
1,D,50,5
1,L,30,3
2,E,30,3
2,D,50,5
2,L,30,3
3,E,40,4
3,D,40,4
3,L,20,2
4,E,30,3
4,D,30,3
4,L,20,2
5,E,30,3
5,D,40,4
5,L,20,2
6,E,40,4
6,D,40,4
6,L,20,2
7,E,30,3
7,D,40,4
7,L,30,3
8,E,50,5
8,D,30,3
8,L,30,3
9,E,50,5
9,D,50,5
9,L,20,2
10,E,40,4
10,D,30,3
10,L,20,2
11,E,40,4
11,D,40,4
11,L,30,3
12,E,40,4
12,D,30,3
12,L,30,3
13,E,30,3
13,D,30,3
13,L,20,2
14,E,50,5
14,D,50,5
14,L,20,2
15,E,30,3
15,D,40,4
15,L,20,2
16,E,30,3
16,D,40,4
16,L,30,3
17,E,30,3
17,D,40,4
17,L,30,3
18,E,30,3
18,D,30,3
18,L,30,3
19,E,40,4
19,D,40,4
19,L,30,3
20,E,50,5
20,D,40,4
20,L,30,3
21,E,30,3
21,D,40,4
21,L,30,3
22,E,50,5
22,D,40,4
22,L,20,2
23,E,30,3
23,D,50,5
23,L,20,2
24,E,50,5
24,D,50,5
24,L,30,3
25,E,30,3
25,D,30,3
25,L,30,3
26,E,40,4
26,D,30,3
26,L,30,3
27,E,30,3
27,D,40,4
27,L,30,3
28,E,50,5
28,D,30,3
28,L,30,3
29,E,50,5
29,D,30,3
29,L,30,3
30,E,40,4
30,D,40,4
30,L,20,2
31,E,30,3
31,D,30,3
31,L,20,2
32,E,40,4
32,D,50,5
32,L,30,3
33,E,40,4
33,D,50,5
33,L,20,2
34,E,30,3
34,D,40,4
34,L,20,2
35,E,50,5
35,D,40,4
35,L,30,3
36,E,40,4
36,D,50,5
36,L,20,2
37,E,50,5
37,D,40,4
37,L,20,2
38,E,50,5
38,D,40,4
38,L,20,2
39,E,30,3
39,D,40,4
39,L,30,3
40,E,30,3
40,D,50,5
40,L,20,2
41,E,50,5
41,D,50,5
41,L,30,3
42,E,30,3
42,D,50,5
42,L,30,3
