nurseid,preferred shift off
1,26
1,9
1,29
1,18
1,20
1,6
1,14
1,30
1,32
1,31
2,18
2,40
2,26
2,8
2,41
2,38
2,24
2,1
2,11
2,21
3,30
3,35
3,29
3,11
3,42
3,23
3,17
3,19
3,36
3,5
4,25
4,21
4,36
4,42
4,14
4,39
4,22
4,11
4,1
4,3
5,5
5,41
5,19
5,7
5,35
5,30
5,4
5,2
5,21
5,33
6,19
6,11
6,36
6,20
6,17
6,27
6,4
6,15
6,33
6,12
7,35
7,9
7,23
7,13
7,19
7,28
7,2
7,24
7,12
7,34
8,12
8,30
8,3
8,9
8,8
8,16
8,5
8,13
8,14
8,37
9,4
9,38
9,29
9,2
9,24
9,1
9,18
9,7
9,3
9,36
10,37
10,5
10,22
10,38
10,18
10,19
10,30
10,10
10,24
10,3
11,35
11,17
11,6
11,40
11,18
11,9
11,12
11,33
11,25
11,27
12,20
12,37
12,8
12,4
12,24
12,32
12,39
12,27
12,17
12,15
13,32
13,31
13,40
13,29
13,33
13,15
13,10
13,20
13,35
13,6
14,14
14,27
14,15
14,31
14,3
14,20
14,16
14,34
14,17
14,13
15,2
15,28
15,8
15,38
15,36
15,26
15,41
15,21
15,9
15,3
16,15
16,1
16,36
16,38
16,35
16,41
16,16
16,17
16,22
16,9
17,6
17,2
17,30
17,25
17,14
17,23
17,36
17,18
17,26
17,42
18,40
18,28
18,9
18,36
18,32
18,15
18,6
18,26
18,12
18,8
19,25
19,4
19,24
19,36
19,30
19,1
19,21
19,28
19,41
19,37
20,15
20,17
20,40
20,22
20,1
20,41
20,20
20,28
20,7
20,36
21,11
21,24
21,17
21,13
21,1
21,25
21,12
21,23
21,4
21,36
22,31
22,19
22,30
22,12
22,6
22,18
22,39
22,35
22,8
22,20
23,40
23,28
23,26
23,7
23,22
23,11
23,23
23,24
23,34
23,42
24,28
24,19
24,4
24,40
24,12
24,24
24,34
24,39
24,29
24,15
25,38
25,9
25,35
25,14
25,36
25,27
25,30
25,13
25,1
25,26
26,36
26,1
26,6
26,42
26,10
26,28
26,34
26,27
26,41
26,31
27,4
27,9
27,39
27,15
27,38
27,11
27,37
27,32
27,7
27,18
28,15
28,20
28,34
28,3
28,12
28,8
28,5
28,4
28,30
28,37
29,9
29,11
29,28
29,20
29,16
29,4
29,33
29,38
29,34
29,41
30,8
30,28
30,32
30,21
30,25
30,15
30,40
30,31
30,41
30,26
31,23
31,21
31,4
31,40
31,10
31,37
31,42
31,29
31,16
31,8
32,29
32,7
32,6
32,37
32,32
32,11
32,13
32,31
32,16
32,9
33,23
33,35
33,28
33,3
33,14
33,33
33,24
33,38
33,29
33,34
34,14
34,31
34,8
34,32
34,42
34,21
34,2
34,1
34,41
34,24
35,31
35,16
35,20
35,41
35,5
35,12
35,21
35,3
35,22
35,42
36,11
36,32
36,4
36,23
36,39
36,42
36,3
36,8
36,41
36,2
37,4
37,28
37,33
37,40
37,5
37,30
37,26
37,14
37,39
37,35
38,24
38,16
38,33
38,4
38,37
38,35
38,1
38,25
38,23
38,22
39,2
39,9
39,6
39,18
39,35
39,16
39,4
39,42
39,13
39,34
40,19
40,29
40,17
40,25
40,15
40,35
40,6
40,8
40,41
40,2
