# Day, ShiftID, Requirement
1,E,5
1,D,4
1,L,3
2,E,4
2,D,3
2,L,3
3,E,3
3,D,4
3,L,3
4,E,4
4,D,4
4,L,2
5,E,3
5,D,5
5,L,2
6,E,4
6,D,5
6,L,3
7,E,5
7,D,3
7,L,3
8,E,3
8,D,3
8,L,2
9,E,3
9,D,4
9,L,2
10,E,5
10,D,3
10,L,2
11,E,3
11,D,5
11,L,3
12,E,5
12,D,5
12,L,2
13,E,3
13,D,4
13,L,3
14,E,3
14,D,5
14,L,3
15,E,3
15,D,5
15,L,2
16,E,3
16,D,3
16,L,2
17,E,5
17,D,4
17,L,2
18,E,3
18,D,5
18,L,2
19,E,5
19,D,3
19,L,3
20,E,3
20,D,3
20,L,3
21,E,5
21,D,5
21,L,2
22,E,3
22,D,3
22,L,3
23,E,5
23,D,3
23,L,2
24,E,3
24,D,4
24,L,2
25,E,5
25,D,5
25,L,2
26,E,4
26,D,5
26,L,2
27,E,5
27,D,5
27,L,3
28,E,3
28,D,3
28,L,3
