nurseid,shift index
1,8
1,22
1,4
1,60
1,69
1,34
1,82
1,10
1,46
1,3
1,9
1,6
1,84
1,78
1,54
1,52
1,25
1,37
1,42
1,32
2,14
2,28
2,50
2,64
2,38
2,3
2,44
2,7
2,15
2,61
2,40
2,12
2,25
2,47
2,19
2,42
2,75
2,31
2,8
2,51
3,50
3,17
3,67
3,9
3,40
3,41
3,28
3,70
3,24
3,83
3,10
3,23
3,54
3,76
3,61
3,64
3,79
3,2
3,14
3,75
4,9
4,29
4,48
4,28
4,31
4,76
4,23
4,70
4,54
4,73
4,72
4,33
4,35
4,80
4,83
4,13
4,78
4,57
4,61
4,20
5,27
5,39
5,52
5,26
5,57
5,23
5,80
5,36
5,19
5,76
5,4
5,54
5,84
5,64
5,17
5,47
5,18
5,82
5,73
5,45
6,36
6,80
6,52
6,62
6,15
6,13
6,41
6,1
6,65
6,40
6,56
6,10
6,48
6,76
6,20
6,53
6,17
6,66
6,37
6,78
7,4
7,25
7,76
7,5
7,26
7,50
7,12
7,17
7,54
7,57
7,71
7,67
7,49
7,63
7,81
7,22
7,78
7,3
7,48
7,29
8,61
8,54
8,21
8,51
8,79
8,56
8,44
8,43
8,39
8,10
8,62
8,7
8,84
8,63
8,30
8,52
8,78
8,80
8,57
8,29
9,57
9,24
9,52
9,74
9,50
9,49
9,66
9,28
9,55
9,54
9,35
9,16
9,80
9,70
9,42
9,62
9,60
9,9
9,4
9,14
10,58
10,37
10,64
10,30
10,36
10,50
10,7
10,11
10,82
10,62
10,81
10,2
10,10
10,5
10,59
10,48
10,73
10,69
10,66
10,42
11,19
11,72
11,24
11,7
11,28
11,13
11,39
11,31
11,10
11,12
11,77
11,1
11,63
11,26
11,79
11,76
11,65
11,30
11,15
11,73
12,16
12,64
12,63
12,45
12,19
12,57
12,78
12,29
12,67
12,40
12,83
12,35
12,4
12,30
12,59
12,5
12,68
12,17
12,84
12,44
13,8
13,7
13,40
13,53
13,11
13,81
13,33
13,82
13,77
13,39
13,49
13,67
13,64
13,76
13,30
13,61
13,1
13,66
13,26
13,27
14,16
14,73
14,1
14,66
14,36
14,39
14,71
14,4
14,43
14,25
14,34
14,68
14,84
14,80
14,42
14,64
14,26
14,13
14,79
14,6
15,69
15,14
15,75
15,13
15,63
15,62
15,83
15,34
15,61
15,26
15,25
15,12
15,35
15,11
15,2
15,5
15,4
15,74
15,73
15,55
16,74
16,57
16,71
16,78
16,35
16,64
16,7
16,3
16,43
16,13
16,16
16,8
16,28
16,31
16,59
16,38
16,4
16,37
16,65
16,14
17,6
17,46
17,83
17,9
17,15
17,30
17,79
17,7
17,63
17,17
17,29
17,13
17,37
17,20
17,74
17,27
17,80
17,68
17,60
17,64
18,54
18,44
18,4
18,84
18,83
18,68
18,35
18,10
18,13
18,73
18,11
18,47
18,60
18,8
18,17
18,25
18,71
18,24
18,43
18,19
19,14
19,45
19,71
19,7
19,27
19,22
19,75
19,73
19,19
19,69
19,51
19,8
19,52
19,74
19,61
19,48
19,55
19,35
19,10
19,40
20,66
20,3
20,40
20,46
20,15
20,67
20,79
20,12
20,53
20,57
20,49
20,72
20,81
20,62
20,21
20,17
20,28
20,78
20,75
20,52
21,2
21,1
21,26
21,78
21,42
21,14
21,71
21,65
21,49
21,22
21,60
21,41
21,19
21,76
21,4
21,79
21,38
21,15
21,44
21,31
22,11
22,18
22,47
22,8
22,40
22,56
22,70
22,52
22,49
22,80
22,48
22,61
22,64
22,30
22,69
22,42
22,81
22,46
22,3
22,84
23,70
23,17
23,73
23,2
23,49
23,10
23,18
23,77
23,38
23,67
23,78
23,1
23,74
23,51
23,41
23,57
23,72
23,22
23,16
23,64
24,6
24,19
24,71
24,80
24,12
24,16
24,54
24,10
24,30
24,58
24,35
24,22
24,49
24,65
24,47
24,82
24,5
24,70
24,21
24,3
25,75
25,22
25,54
25,84
25,25
25,65
25,71
25,12
25,53
25,63
25,46
25,62
25,20
25,45
25,68
25,56
25,15
25,37
25,32
25,24
26,53
26,39
26,64
26,12
26,17
26,65
26,35
26,31
26,83
26,61
26,13
26,43
26,44
26,51
26,11
26,1
26,27
26,33
26,22
26,75
27,13
27,51
27,19
27,81
27,18
27,55
27,83
27,6
27,25
27,14
27,42
27,20
27,62
27,22
27,41
27,33
27,73
27,31
27,43
27,15
28,30
28,74
28,15
28,21
28,5
28,33
28,14
28,3
28,22
28,38
28,19
28,45
28,27
28,72
28,69
28,84
28,17
28,39
28,42
28,4
29,6
29,24
29,10
29,73
29,44
29,62
29,32
29,27
29,30
29,64
29,41
29,2
29,33
29,79
29,66
29,75
29,58
